Provincie,bedrijvigheid__% Maakindustrie,bedrijvigheid__% Kunststoffen,bedrijvigheid__% Consumptiegoederen,bedrijvigheid__% Bouw,bedrijvigheid__% Biomassa en voedsel,r_strategie__% R1 Rethink,r_strategie__% Reduce,r_strategie__% R3 Reuse,r_strategie__% R4 Repair,r_strategie__% R5 Recycle,r_strategie__% R6 Recover,r_strategie__% Overig,instrumenten__% Onderzoek,instrumenten__% Onderwijs,instrumenten__% Netwerk en informatie-uitwisseling,instrumenten__% Bedrijfs-ondersteuning en financiering,instrumenten__% Informatievoorziening,instrumenten__% Inkoop,instrumenten__% Wet- en regelgeving,instrumenten__% Ruimtelijke Ordening
Drenthe,13.0,3.0,47.0,13.0,13.0,13.0,3.0,11.0,24.0,39.0,0.0,10.0,6.0,18.0,20.0,26.0,10.0,8.0,8.0,4.0
Flevoland,3.0,6.0,65.0,6.0,6.0,0.0,26.0,23.0,19.0,23.0,0.0,9.0,19.0,0.0,19.0,27.0,17.0,8.0,8.0,2.0
Friesland,15.0,9.0,55.0,15.0,6.0,11.0,17.0,21.0,9.0,34.0,0.0,8.0,15.0,11.0,37.0,15.0,14.0,2.0,6.0,0.0
Gelderland,9.0,3.0,53.0,17.0,12.0,8.0,16.0,12.0,20.0,32.0,0.0,12.0,12.0,8.0,14.0,25.0,9.0,9.0,12.0,10.0
Gemiddelde alle provincies,9.0,4.0,54.0,14.0,10.0,10.0,14.0,16.0,17.0,33.0,0.0,10.0,17.0,8.0,21.0,23.0,12.0,7.0,8.0,5.0
Groningen,12.0,4.0,49.0,18.0,5.0,9.0,18.0,12.0,16.0,37.0,2.0,6.0,12.0,7.0,17.0,34.0,10.0,10.0,8.0,2.0
Limburg,11.0,9.0,52.0,13.0,10.0,5.0,16.0,14.0,15.0,41.0,0.0,9.0,16.0,8.0,6.0,31.0,20.0,4.0,8.0,6.0
Noord (gemiddelde),12.0,4.0,49.0,18.0,5.0,9.0,18.0,12.0,16.0,37.0,2.0,6.0,,,,,,,,
Noord-Brabant,12.0,6.0,51.0,14.0,9.0,11.0,19.0,16.0,16.0,30.0,0.0,8.0,11.0,4.0,31.0,29.0,9.0,6.0,8.0,3.0
Noord-Holland,5.0,2.0,60.0,11.0,11.0,13.0,9.0,15.0,15.0,34.0,1.0,13.0,21.0,2.0,23.0,21.0,21.0,4.0,9.0,0.0
Oost (gemiddelde),9.0,3.0,53.0,17.0,12.0,8.0,16.0,12.0,20.0,32.0,0.0,12.0,,,,,,,,
Overijssel,13.0,9.0,49.0,15.0,8.0,6.0,12.0,11.0,21.0,43.0,0.0,7.0,18.0,8.0,22.0,21.0,14.0,9.0,6.0,2.0
Utrecht,6.0,2.0,52.0,15.0,11.0,14.0,15.0,21.0,14.0,26.0,0.0,10.0,31.0,6.0,18.0,7.0,14.0,6.0,10.0,8.0
West (gemiddelde),,,,,,,,,,,,,,,,,,,,
Zeeland,9.0,3.0,50.0,26.0,9.0,0.0,24.0,24.0,18.0,29.0,0.0,5.0,18.0,17.0,17.0,17.0,9.0,8.0,8.0,7.0
Zuid (gemiddelde),12.0,6.0,51.0,14.0,9.0,11.0,19.0,16.0,16.0,30.0,0.0,8.0,,,,,,,,
Zuid-Holland,7.0,5.0,55.0,13.0,12.0,12.0,11.0,17.0,17.0,31.0,0.0,12.0,19.0,5.0,22.0,24.0,14.0,10.0,3.0,3.0
